"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","26","26","6","17.372080","0","28"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","33","33","2","26.550720","0","51"
"/OpenXR/Devices/M_XRController.M_XRController","24","18","18","3","13.094498","0","18"
"Globals","24","759","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","24","2","2","1","1.633458","0","2"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","24","2","2","1","1.574838","0","2"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","24","12","12","1","9.443134","0","23"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","24","2","2","1","1.061948","0","2"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","24","2","2","1","1.210888","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","24","2","2","1","1.209811","0","2"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","24","6","6","1","4.318933","0","6"
"/OculusVR/Materials/touchController_mat.touchController_mat","24","12","12","1","9.280872","0","12"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","24","2","2","1","1.414589","0","2"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","24","2","2","1","1.595141","0","2"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","24","2","2","1","1.564397","0","2"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","24","26","26","1","28.139669","0","39"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","24","38","38","1","43.980000","0","61"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","24","195","20","1","131.311172","0","918"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","24","30","30","1","22.837786","0","47"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","24","78","23","1","72.440987","0","276"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","24","2","2","1","1.205660","0","2"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","24","2","2","1","1.238986","0","2"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","2","2","1","1.365903","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","12","12","1","9.317492","0","12"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","2","2","1","1.352020","0","2"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","2","2","1","1.313192","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","6","6","1","4.465209","0","6"
"/Engine/VREditor/TransformGizmo/Main.Main","24","2","2","1","1.337641","0","3"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","24","18","18","1","12.344849","0","18"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","6","6","1","5.577826","0","6"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","8","8","1","4.162978","0","8"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","4","4","1","2.085347","0","4"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","31","31","1","22.048361","0","31"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","311","311","1","224.376038","0","311"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","13","13","1","8.819433","0","13"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","2","2","1","1.401509","0","2"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","2","2","1","1.418217","0","2"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","24","36","36","1","30.470762","0","36"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","2","2","1","1.630444","0","2"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","2","2","1","1.378492","0","2"
"/Game/StarterKit/Foliage/_Materials/ForestSet/Materials/MASTER_TREELEAVES.MASTER_TREELEAVES","24","38","3","1","46.089432","0","202"
"/Game/StarterKit/Foliage/_Materials/ForestSet/Materials/M_TreeBark01.M_TreeBark01","24","12","1","1","7.919422","0","87"
"/Game/Meshes/CafeDome_Meshes/SajidsHannas_Meshar/Textures/M_Kaffemaskin.M_Kaffemaskin","24","12","2","1","9.127308","0","56"
"/Game/Meshes/CafeDome_Meshes/SajidsHannas_Meshar/Textures/M_CookieJar.M_CookieJar","24","12","2","1","9.243297","0","47"
"/Game/Meshes/CafeDome_Meshes/SajidsHannas_Meshar/Textures/M_BoxWithLid.M_BoxWithLid","24","12","4","1","12.306735","0","43"
"/Game/Meshes/CafeDome_Meshes/RandomBar_Meshar/Material__46.Material__46","24","9","3","1","6.340700","0","25"
"/Game/Meshes/CafeDome_Meshes/RandomBar_Meshar/Material__821.Material__821","24","12","4","1","9.149879","0","42"
"/Game/Meshes/CafeDome_Meshes/RandomBar_Meshar/Material__60.Material__60","24","9","1","1","6.476374","0","24"
"/Game/MSPresets/MS_DefaultMaterial/MS_DefaultMaterial.MS_DefaultMaterial","24","18","2","1","14.035931","0","54"
"/Game/Meshes/CafeDome_Meshes/RandomBar_Meshar/Wrapper.Wrapper","24","12","3","1","9.137384","0","31"
"/Game/Meshes/CafeDome_Meshes/RandomBar_Meshar/Wine.Wine","24","12","12","1","9.817337","0","20"
"/Game/Meshes/CafeDome_Meshes/RandomBar_Meshar/Label_Wine.Label_Wine","24","12","12","1","10.423387","0","21"
"/Game/Meshes/CafeDome_Meshes/SajidsHannas_Meshar/Textures/Trashcan_and_Winebottle.Trashcan_and_Winebottle","24","12","12","1","9.960213","0","18"
"/Game/Meshes/CafeDome_Meshes/SajidsHannas_Meshar/Textures/M_Set14.M_Set14","24","12","12","1","9.811315","0","20"
"/Game/Meshes/CafeDome_Meshes/SajidsHannas_Meshar/Textures/M_Smallstuff.M_Smallstuff","24","12","12","1","9.648859","0","22"
"/Game/Meshes/CafeDome_Meshes/SajidsHannas_Meshar/Textures/Cup_and_mug.Cup_and_mug","24","12","12","1","10.309369","0","14"
"/Game/Movies/Movies/FishEye/FishEyeMediaPlayer_Video_Mat.FishEyeMediaPlayer_Video_Mat","24","12","12","1","9.719984","0","16"
"/Game/Meshes/Wisdome/Floor/WhiteBoxMaterial.WhiteBoxMaterial","24","12","12","1","9.220991","0","18"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","24","2","2","1","1.898764","0","2"
"/Game/Meshes/CafeDome_Meshes/RandomBar_Meshar/M_Glass_Cafe.M_Glass_Cafe","24","9","9","1","6.834336","0","11"
"/Game/Materials/M_Glass.M_Glass","24","11","11","1","8.665921","0","19"
"/Game/Meshes/CafeDome_Meshes/SajidsHannas_Meshar/Textures/M_Utilities.M_Utilities","24","12","12","1","9.079559","0","22"
"/Game/VRTemplate/Materials/M_TeleportCylinder.M_TeleportCylinder","24","8","8","1","8.135142","0","8"
"/Game/ActorCore_Sample_Motions/Shaders/StandardShader/RL_Standard.RL_Standard","24","90","13","2","69.494606","0","384"
"/Engine/VREditor/LaserPointer/LaserPointerMaterial.LaserPointerMaterial","24","8","8","2","6.059887","0","8"
